objectid,filename,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll029,ben_hem0029.jpg,Trofeo del Clásico Aguja Azul,A. Aponte,01/18/1969,Foto de prensa de la entrega de premios del II Clásico de Aguja Azul celebrado en el Caraballeda Golf Yacht Club,"Benarroch, Freddy; sport fishing; competitive fishing;  national records--Venezuela; Clásico Aguja Azul;","Caraballeda, Estado Vargas, Venezuela",10.61216,-66.85192,El Nacional,ben_hem0029,Image; StillImage,image/jpeg,spa,This material is protected by copyright. Copyright is held by Archivo Famila Benarroch,https://rightsstatements.org/en/
coll030,ben_hem0030.jpg,Con la pesca de la aguja azul se inicia hoy la temporada del 69,,01/1969,Recorte de prensa sobre el II Clásico de Aguja Azul a celebrarse en el Caraballeda Golf Yacht Club,"Benarroch, Freddy; sport fishing; competitive fishing;  national records--Venezuela; Clásico Aguja Azul;","Caraballeda, Estado Vargas, Venezuela",10.61216,-66.85192,El Nacional,ben_hem0030,Image; StillImage,image/jpeg,spa,This material is protected by copyright. Copyright is held by Archivo Famila Benarroch,https://rightsstatements.org/en/
coll031,ben_hem0031.jpg,Récord Nacional a tiro del Mundial 359 kgs.,Longobardo Lossada Roa y José Sardá,04/13/1969,"Fotografía de prensa de Freddy Benarroch y otros competidores junto a un marlin azul de 359 kilos y 3,84 metros de longitud y 1,88 metros de circunferencia","Benarroch, Freddy; sport fishing; competitive fishing;  national records--Venezuela; Clásico Aguja Azul;","Playa Grande, Estado Vargas, Venezuela",10.60884,-67.015990,El Nacional,ben_hem0031,Image; StillImage,image/jpeg,spa,This material is protected by copyright. Copyright is held by Archivo Famila Benarroch,https://rightsstatements.org/en/
coll032,ben_hem0032.jpg,Guillerno Yanes Parés ganó Clásico de Aguja Azul,Longobardo Lossada Roa y A. Aponte,01/20/1969,Crónica del II Clásico de Aguja Azul que inauguró la temporada de pesca del año 1969,"Benarroch, Freddy; sport fishing; competitive fishing;  national records--Venezuela; Clásico Aguja Azul;","Caraballeda, Estado Vargas, Venezuela",10.61216,-66.85192,El Nacional,ben_hem0032,Image; StillImage,image/jpeg,spa,This material is protected by copyright. Copyright is held by Archivo Famila Benarroch,https://rightsstatements.org/en/
coll033,ben_hem0033.jpg,25 torneos de pesca deportiva contempla Temporada de 1969,,01/17/1969,Calendario oficial de los concursos de pesca de altura programados para 1969,"Benarroch, Freddy; sport fishing; competitive fishing;  national records--Venezuela; Federación Venezolana de Pesca de Altura","Playa Grande, Estado Vargas, Venezuela",10.60884,-67.015990,El Nacional,ben_hem0033,Image; StillImage,image/jpeg,spa,This material is protected by copyright. Copyright is held by Archivo Famila Benarroch,https://rightsstatements.org/en/
coll034,ben_hem0034.jpg,Freddy Benarroch pasó a comandar clasificación general de pesca,,04/22/1969,"Resultados finales del X Clásico Aguja Azul, donde Freddy Benarroch logró un récord nacional ","Benarroch, Freddy; sport fishing; competitive fishing;  national records--Venezuela; Clásico Aguja Azul;","Playa Grande, Estado Vargas, Venezuela",10.60884,-67.015990,El Nacional,ben_hem0034,Image; StillImage,image/jpeg,spa,This material is protected by copyright. Copyright is held by Archivo Famila Benarroch,https://rightsstatements.org/en/
coll035,ben_hem0035.jpg,Mañana se reanuda en Playa Grande el Clásico de Aguja Azul,[Longobardo Lossada Roa y José Sardá],04/18/1969,"Recorte de prensa donde se asegura que a dos fechas, la Mako y Freddy Benarroch tienen asegurados el primer puesto por la captura de un ejemplar de 359 kilos","Benarroch, Freddy; sport fishing; competitive fishing;  national records--Venezuela; Clásico Aguja Azul;","Playa Grande, Estado Vargas, Venezuela",10.60884,-67.015990,El Nacional,ben_hem0035,Image; StillImage,image/jpeg,spa,This material is protected by copyright. Copyright is held by Archivo Famila Benarroch,https://rightsstatements.org/en/
coll036,ben_hem0036.jpg,Punteros en Clásico Aguja Azul,Longobardo Lossada Roa y Miguel Grillo,05/1964,Resultados de la jornada inaugural del V Clásico de Aguja Azul donde el equipo de Freddy Benarroch lleva la delantera,"Benarroch, Freddy; sport fishing; competitive fishing;  national records--Venezuela; Clásico Aguja Azul;","Playa Grande, Estado Vargas, Venezuela",10.60884,-67.015990,El Nacional,ben_hem0036,Image; StillImage,image/jpeg,spa,This material is protected by copyright. Copyright is held by Archivo Famila Benarroch,https://rightsstatements.org/en/
coll037,ben_hem0037.jpg,"""Mako"" conservó título",Pedro Lira y Reyes Rojas,05/1964,Resultados de las dos primeras fechas del V Clásico de Aguja Azul donde el equipo de Freddy Benarroch se conservó invicto,"Benarroch, Freddy; sport fishing; competitive fishing;  national records--Venezuela; Clásico Aguja Azul; Jaén, Rubén;","Playa Grande, Estado Vargas, Venezuela",10.60884,-67.015990,El Nacional,ben_hem0037,Image; StillImage,image/jpeg,spa,This material is protected by copyright. Copyright is held by Archivo Famila Benarroch,https://rightsstatements.org/en/
coll038,ben_hem0038.jpg,"Gildo Bellini y la ""Mako"" campeones del V Clásico",Longobardo Lossada Roa y Miguel Grillo,05/1964,Resultados finales del V Clásico de Aguja Azul que fue ganado por Gildo Bellini y por el equipo de Freddy Benarroch ,"Benarroch, Freddy; sport fishing; competitive fishing;  national records--Venezuela; Clásico Aguja Azul;","Playa Grande, Estado Vargas, Venezuela",10.60884,-67.015990,El Nacional,ben_hem0038,Image; StillImage,image/jpeg,spa,This material is protected by copyright. Copyright is held by Archivo Famila Benarroch,https://rightsstatements.org/en/
coll040,ben_hem0040.jpg,"""Cacoa"" se adjudicó Clásico Aguja Blanca",,09/15/1964,Resultados del Clásico Aguja Blanca y reseña del peligroso accidenteque sufrió Freddy Benarroch al ser atacado por una aguja,"Benarroch, Freddy; sport fishing; competitive fishing;  national records--Venezuela; Clásico Aguja Blanca;","Caraballeda, Estado Vargas, Venezuela",10.61216,-66.85192,La Esfera,ben_hem0040,Image; StillImage,image/jpeg,spa,This material is protected by copyright. Copyright is held by Archivo Famila Benarroch,https://rightsstatements.org/en/
coll041,ben_hem0041.jpg,"Roderick Romer y la ""Mako"" líderes en temporada de pesca",,05/12/1964,Resultados de las dos primeras fechas del V Clásico de Aguja Azul donde el equipo de Freddy Benarroch comandan la tabla,"Benarroch, Freddy; sport fishing; competitive fishing;  national records--Venezuela; Clásico Aguja Azul; Romer, Roderick;","Playa Grande, Estado Vargas, Venezuela",10.60884,-67.015990,El Nacional,ben_hem0041,Image; StillImage,image/jpeg,spa,This material is protected by copyright. Copyright is held by Archivo Famila Benarroch,https://rightsstatements.org/en/
coll042,ben_hem0042.jpg,[V Clásico de Aguja Azul],Longobardo Lossada Roa,05/1964,"Foto de prensa del equipo de la ""Mako"", del cual forma parte Freddy Benarroch, junto a un ejemplar de 136 kilos capturado en la preimera jornada del V Clásico de Aguja Azul ","Benarroch, Freddy; sport fishing; competitive fishing;  national records--Venezuela; Clásico Aguja Azul; ","Playa Grande, Estado Vargas, Venezuela",10.60884,-67.015990,El Nacional,ben_hem0042,Image; StillImage,image/jpeg,spa,This material is protected by copyright. Copyright is held by Archivo Famila Benarroch,https://rightsstatements.org/en/
coll043,ben_hem0043.jpg,[V Clásico de Aguja Azul],Beltrán,05/1964,"Foto de prensa del equipo de la ""Mako"", del cual forma parte Freddy Benarroch, que participarán en el V Clásico de Aguja Azul ","Benarroch, Freddy; sport fishing; competitive fishing;  national records--Venezuela; Clásico Aguja Azul; ","Playa Grande, Estado Vargas, Venezuela",10.60884,-67.015990,El Nacional,ben_hem0043,Image; StillImage,image/jpeg,spa,This material is protected by copyright. Copyright is held by Archivo Famila Benarroch,https://rightsstatements.org/en/
coll044,ben_hem0044.jpg,Fiesta de los Benarroch,Longobardo Lossada Roa y Quijano,05/23/1969,Reseña de fiesta ofrecida por los padres de Freddy Benarroch para celebrar su récord nacional de pesca en el  X Clásico Aguja Azul,"Benarroch, Freddy; sport fishing; competitive fishing;  national records--Venezuela; Clásico Aguja Azul;","Los Chorros, Caracas, Venezuela",10.5040684,-66.8287933,El Nacional,ben_hem0044,Image; StillImage,image/jpeg,spa,This material is protected by copyright. Copyright is held by Archivo Famila Benarroch,https://rightsstatements.org/en/
coll045,ben_fot0045.jpg,Récord Nacional de Aguja Azul,Juan Bautista Arismendo,04/20/1969,"""Foto tomada por el señor Juan Bautista Arismendi durante el Cásico Nacional de Aguja Azul 1969. Aguja azul con peso de 359 kilogramos, récord nacional pescado por el señor Freddy Benarroch""","Benarroch, Freddy; sport fishing; competitive fishing;  national records--Venezuela; Clásico Aguja Azul;","Playa Grande, Estado Vargas, Venezuela",10.60884,-67.015990,,ben_fot0045,Image; StillImage,image/jpeg,spa,This material is protected by copyright. Copyright is held by Archivo Famila Benarroch,https://rightsstatements.org/en/
coll046,ben_fot0046.jpg,Récord Nacional de Aguja Azul,Juan Bautista Arismendo,04/20/1969,"""Foto tomada por el señor Juan Bautista Arismendi durante el Cásico Nacional de Aguja Azul 1969. Aguja azul con peso de 359 kilogramos, récord nacional pescado por el señor Freddy Benarroch""","Benarroch, Freddy; sport fishing; competitive fishing;  national records--Venezuela; Clásico Aguja Azul;","Playa Grande, Estado Vargas, Venezuela",10.60884,-67.015990,,ben_fot0046,Image; StillImage,image/jpeg,spa,This material is protected by copyright. Copyright is held by Archivo Famila Benarroch,https://rightsstatements.org/en/
